name,location,price,area,bhk,price_cr,area_sqft,bhk_count,price_per_sqft
"South Extension 2, Delhi, South Delhi","4 BHK Builder Floor in South Extension 2, Delhi",₹13.75 Cr,"4,500 sqft",4 BHK,13.75,4500.0,4.0,30556.0
"South Extension 2, Delhi, South Delhi","4 BHK Builder Floor in South Extension 2, Delhi",₹15 Cr,"4,540 sqft",4 BHK,15.0,4540.0,4.0,33040.0
"South Extension 2, Delhi, South Delhi","4 BHK Builder Floor in South Extension 2, Delhi",₹12 Cr,"3,650 sqft",4 BHK,12.0,3650.0,4.0,32877.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹26 Cr,"7,200 sqft",4 BHK,26.0,7200.0,4.0,36111.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹25 Cr,"7,740 sqft",4 BHK,25.0,7740.0,4.0,32300.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹17 Cr,"4,590 sqft",4 BHK,17.0,4590.0,4.0,37037.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹15 Cr,"4,590 sqft",4 BHK,15.0,4590.0,4.0,32680.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹17 Cr,"4,509 sqft",4 BHK,17.0,4509.0,4.0,37702.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹30 Cr,"7,209 sqft",4 BHK,30.0,7209.0,4.0,41615.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹14.5 Cr,"4,545 sqft",4 BHK,14.5,4545.0,4.0,31903.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹15.5 Cr,"7,740 sqft",4 BHK,15.5,7740.0,4.0,20026.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹16 Cr,"4,545 sqft",4 BHK,16.0,4545.0,4.0,35204.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹15 Cr,"2,710 sqft",4 BHK,15.0,2710.0,4.0,55351.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹9.5 Cr,"2,710 sqft",4 BHK,9.5,2710.0,4.0,35055.0
"Gulmohar park, Delhi, South Delhi","4 BHK Builder Floor in Gulmohar park, Delhi",₹19 Cr,"4,500 sqft",4 BHK,19.0,4500.0,4.0,42222.0
"Gulmohar park, Delhi, South Delhi","4 BHK Builder Floor in Gulmohar park, Delhi",₹13 Cr,"2,700 sqft",4 BHK,13.0,2700.0,4.0,48148.0
"Anand Lok, Delhi, South Delhi","4 BHK Builder Floor in Anand Lok, Delhi",₹18.5 Cr,"3,650 sqft",4 BHK,18.5,3650.0,4.0,50685.0
Anand Lok Builder Floor,"4 BHK Builder Floor in Anand Lok, Delhi",₹18 Cr,"3,690 sqft",4 BHK,18.0,3690.0,4.0,48780.0
"Anand Lok, Delhi, South Delhi","4 BHK Builder Floor in Anand Lok, Delhi",₹28 Cr,"7,290 sqft",4 BHK,28.0,7290.0,4.0,38409.0
"Panchsheel Enclave, Delhi, South Delhi","3 BHK Builder Floor in Panchsheel Enclave, Delhi",₹8.25 Cr,"1,910 sqft",3 BHK,8.25,1910.0,3.0,43194.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹17.25 Cr,"3,690 sqft",4 BHK,17.25,3690.0,4.0,46748.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹20 Cr,"3,500 sqft",4 BHK,20.0,3500.0,4.0,57143.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹34 Cr,"7,650 sqft",4 BHK,34.0,7650.0,4.0,44444.0
Premium Designer Builder Floors in Vasant Vihar 4.0,"4 BHK Builder Floor in Vasant Vihar, Delhi",₹13.5 Cr,"2,500 sqft",4 BHK,13.5,2500.0,4.0,54000.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹16.5 Cr,"2,201 sqft",4 BHK,16.5,2201.0,4.0,74966.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹28 Cr,"5,859 sqft",4 BHK,28.0,5859.0,4.0,47790.0
Vasant Vihar Builder Floor,"4 BHK Builder Floor in Vasant Vihar, Delhi",₹15 Cr,"3,609 sqft",4 BHK,15.0,3609.0,4.0,41563.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹16 Cr,"3,609 sqft",4 BHK,16.0,3609.0,4.0,44334.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹33 Cr,"7,029 sqft",4 BHK,33.0,7029.0,4.0,46948.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹23 Cr,"7,209 sqft",4 BHK,23.0,7209.0,4.0,31905.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹15.75 Cr,"3,744 sqft",4 BHK,15.75,3744.0,4.0,42067.0
"Defence Colony, South Delhi","3 BHK Builder Floor in Defence Colony, South Delhi",₹17 Cr,"2,926 sqft",3 BHK,17.0,2926.0,3.0,58100.0
"Defence Colony, South Delhi","3 BHK Builder Floor in Defence Colony, South Delhi",₹11.5 Cr,"2,934 sqft",3 BHK,11.5,2934.0,3.0,39196.0
"Defence Colony, South Delhi","3 BHK Builder Floor in Defence Colony, South Delhi",₹9.25 Cr,"2,925 sqft",3 BHK,9.25,2925.0,3.0,31624.0
"Defence Colony, South Delhi","4 BHK Builder Floor in Defence Colony, South Delhi",₹14 Cr,"2,934 sqft",4 BHK,14.0,2934.0,4.0,47716.0
